idx,id,code,path,sequencelength,classid,classname,region,fold
42,25301090,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301090.csv,79,8,Alfalfa,Garfield,3
43,22603219,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22603219.csv,76,8,Alfalfa,Garfield,3
44,25306962,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25306962.csv,84,8,Alfalfa,Garfield,3
45,25307453,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307453.csv,81,8,Alfalfa,Garfield,3
46,25307452,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307452.csv,81,8,Alfalfa,Garfield,3
47,25301174,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301174.csv,78,8,Alfalfa,Garfield,3
48,25301012,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301012.csv,79,8,Alfalfa,Garfield,3
49,25300924,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300924.csv,79,8,Alfalfa,Garfield,3
50,25306877,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25306877.csv,84,8,Alfalfa,Garfield,3
51,22104656,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104656.csv,67,8,Alfalfa,Garfield,1
52,25301005,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301005.csv,79,8,Alfalfa,Garfield,3
53,25301007,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301007.csv,79,8,Alfalfa,Garfield,3
54,25301177,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301177.csv,79,8,Alfalfa,Garfield,3
55,25300844,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300844.csv,79,8,Alfalfa,Garfield,3
56,25301008,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301008.csv,79,8,Alfalfa,Garfield,3
57,25301176,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301176.csv,79,8,Alfalfa,Garfield,3
58,22104658,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104658.csv,68,8,Alfalfa,Garfield,1
59,25301091,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301091.csv,79,8,Alfalfa,Garfield,3
60,20801353,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801353.csv,66,5,Canola,Garfield,3
61,24206079,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206079.csv,65,5,Canola,Garfield,5
62,25705314,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705314.csv,70,5,Canola,Garfield,4
63,25705565,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705565.csv,73,5,Canola,Garfield,4
64,25704419,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704419.csv,74,5,Canola,Garfield,4
65,22909677,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909677.csv,71,5,Canola,Garfield,5
66,25704548,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704548.csv,74,5,Canola,Garfield,4
67,25706473,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706473.csv,72,5,Canola,Garfield,4
68,25705003,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705003.csv,70,5,Canola,Garfield,4
69,25808227,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25808227.csv,71,5,Canola,Garfield,2
70,24207093,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207093.csv,64,5,Canola,Garfield,5
71,22909612,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909612.csv,73,5,Canola,Garfield,5
72,25705239,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705239.csv,69,5,Canola,Garfield,4
73,25707779,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707779.csv,73,5,Canola,Garfield,4
74,25705564,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705564.csv,73,5,Canola,Garfield,4
75,22910340,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22910340.csv,68,5,Canola,Garfield,5
76,24009440,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009440.csv,72,5,Canola,Garfield,2
77,22909783,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909783.csv,70,5,Canola,Garfield,5
78,22910113,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22910113.csv,71,5,Canola,Garfield,5
79,24009020,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009020.csv,71,5,Canola,Garfield,2
80,22909953,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909953.csv,71,5,Canola,Garfield,5
81,20801218,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801218.csv,67,5,Canola,Garfield,3
82,25705793,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705793.csv,71,5,Canola,Garfield,4
83,20801955,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801955.csv,67,5,Canola,Garfield,3
84,24205366,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205366.csv,67,5,Canola,Garfield,5
85,25810955,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25810955.csv,74,5,Canola,Garfield,2
86,20801919,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801919.csv,69,5,Canola,Garfield,3
87,25707866,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707866.csv,75,5,Canola,Garfield,4
88,25809744,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25809744.csv,74,5,Canola,Garfield,2
89,24112602,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24112602.csv,67,5,Canola,Garfield,2
90,25705235,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705235.csv,70,5,Canola,Garfield,4
91,24009224,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009224.csv,72,5,Canola,Garfield,2
92,25706094,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706094.csv,74,5,Canola,Garfield,4
93,25810952,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25810952.csv,75,5,Canola,Garfield,2
94,25000539,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25000539.csv,68,5,Canola,Garfield,5
95,24008319,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008319.csv,72,5,Canola,Garfield,2
96,24207694,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207694.csv,68,5,Canola,Garfield,5
97,25705445,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705445.csv,70,5,Canola,Garfield,4
98,20801260,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801260.csv,65,5,Canola,Garfield,3
99,25706601,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706601.csv,72,5,Canola,Garfield,4
100,25704842,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704842.csv,70,5,Canola,Garfield,4
101,24206957,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206957.csv,66,5,Canola,Garfield,5
102,24206953,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206953.csv,64,5,Canola,Garfield,5
103,22909690,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909690.csv,70,5,Canola,Garfield,5
104,24205535,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205535.csv,66,5,Canola,Garfield,5
105,25704930,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704930.csv,70,5,Canola,Garfield,4
106,22911349,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22911349.csv,71,5,Canola,Garfield,5
107,24206346,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206346.csv,66,5,Canola,Garfield,5
108,25706465,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706465.csv,73,5,Canola,Garfield,4
109,24009792,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009792.csv,72,5,Canola,Garfield,2
110,25704929,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704929.csv,70,5,Canola,Garfield,4
111,20801044,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801044.csv,69,5,Canola,Garfield,3
112,20800412,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800412.csv,71,5,Canola,Garfield,3
113,25707200,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707200.csv,75,5,Canola,Garfield,4
114,25704427,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704427.csv,75,5,Canola,Garfield,4
115,20801494,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801494.csv,69,5,Canola,Garfield,3
116,24007618,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24007618.csv,74,5,Canola,Garfield,2
117,24206113,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206113.csv,66,5,Canola,Garfield,5
118,20801515,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801515.csv,67,5,Canola,Garfield,3
119,25000696,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25000696.csv,69,5,Canola,Garfield,5
120,20800239,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800239.csv,72,5,Canola,Garfield,3
121,25707682,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707682.csv,76,5,Canola,Garfield,4
122,24007838,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24007838.csv,74,5,Canola,Garfield,2
123,22803999,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22803999.csv,72,5,Canola,Garfield,1
124,25704717,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704717.csv,72,5,Canola,Garfield,4
125,24206739,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206739.csv,67,5,Canola,Garfield,5
126,25706019,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706019.csv,73,5,Canola,Garfield,4
127,22909341,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909341.csv,72,5,Canola,Garfield,5
128,25706266,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706266.csv,71,5,Canola,Garfield,4
129,20801749,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801749.csv,67,5,Canola,Garfield,3
130,20800667,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800667.csv,67,5,Canola,Garfield,3
131,25809197,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25809197.csv,72,5,Canola,Garfield,2
132,25706038,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706038.csv,73,5,Canola,Garfield,4
133,25705840,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705840.csv,72,5,Canola,Garfield,4
134,22909938,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909938.csv,72,5,Canola,Garfield,5
135,25705762,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705762.csv,72,5,Canola,Garfield,4
136,25704562,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704562.csv,73,5,Canola,Garfield,4
137,25704283,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704283.csv,74,5,Canola,Garfield,4
138,20800916,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800916.csv,67,5,Canola,Garfield,3
139,24206029,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206029.csv,67,5,Canola,Garfield,5
140,22910657,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22910657.csv,73,5,Canola,Garfield,5
141,20801300,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801300.csv,65,5,Canola,Garfield,3
142,20801552,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801552.csv,65,5,Canola,Garfield,3
143,25704755,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704755.csv,71,5,Canola,Garfield,4
144,25705218,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705218.csv,72,5,Canola,Garfield,4
145,20800583,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800583.csv,72,5,Canola,Garfield,3
146,25704931,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704931.csv,70,5,Canola,Garfield,4
147,24206505,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206505.csv,66,5,Canola,Garfield,5
148,24001555,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24001555.csv,68,5,Canola,Garfield,2
149,25000799,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25000799.csv,69,5,Canola,Garfield,5
150,24008060,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008060.csv,72,5,Canola,Garfield,2
151,22909761,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909761.csv,72,5,Canola,Garfield,5
152,24008200,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008200.csv,72,5,Canola,Garfield,2
153,24009017,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009017.csv,70,5,Canola,Garfield,2
154,24008320,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008320.csv,72,5,Canola,Garfield,2
155,24206833,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206833.csv,66,5,Canola,Garfield,5
156,24206080,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206080.csv,66,5,Canola,Garfield,5
157,25706859,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706859.csv,72,5,Canola,Garfield,4
158,25705329,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705329.csv,71,5,Canola,Garfield,4
159,25706262,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706262.csv,72,5,Canola,Garfield,4
160,24206315,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206315.csv,66,5,Canola,Garfield,5
161,24008059,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008059.csv,72,5,Canola,Garfield,2
162,25808977,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25808977.csv,74,5,Canola,Garfield,2
163,24207040,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207040.csv,68,5,Canola,Garfield,5
164,20800317,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800317.csv,70,5,Canola,Garfield,3
165,25810083,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25810083.csv,74,5,Canola,Garfield,2
166,25000700,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25000700.csv,68,5,Canola,Garfield,5
167,25705946,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705946.csv,73,5,Canola,Garfield,4
168,24206232,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206232.csv,66,5,Canola,Garfield,5
169,24206250,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206250.csv,66,5,Canola,Garfield,5
170,25705318,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705318.csv,70,5,Canola,Garfield,4
171,20800650,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800650.csv,70,5,Canola,Garfield,3
172,24207030,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207030.csv,70,5,Canola,Garfield,5
173,20801719,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20801719.csv,70,5,Canola,Garfield,3
174,25704429,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704429.csv,76,5,Canola,Garfield,4
175,24205199,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205199.csv,66,5,Canola,Garfield,5
176,25808566,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25808566.csv,73,5,Canola,Garfield,2
177,24206096,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206096.csv,68,5,Canola,Garfield,5
178,21802539,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\21802539.csv,72,5,Canola,Garfield,1
179,25706034,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706034.csv,72,5,Canola,Garfield,4
180,24206592,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206592.csv,67,5,Canola,Garfield,5
181,25705558,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705558.csv,73,5,Canola,Garfield,4
182,24008459,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24008459.csv,73,5,Canola,Garfield,2
183,24002430,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24002430.csv,67,5,Canola,Garfield,2
184,25707103,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707103.csv,73,5,Canola,Garfield,4
185,25705796,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705796.csv,72,5,Canola,Garfield,4
186,22907456,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22907456.csv,73,5,Canola,Garfield,5
187,20800548,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\20800548.csv,72,5,Canola,Garfield,3
188,22910118,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22910118.csv,70,5,Canola,Garfield,5
189,25704751,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704751.csv,71,5,Canola,Garfield,4
190,25704224,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25704224.csv,74,5,Canola,Garfield,4
191,24207558,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207558.csv,65,5,Canola,Garfield,5
192,24009021,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24009021.csv,72,5,Canola,Garfield,2
193,25705238,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705238.csv,69,5,Canola,Garfield,4
194,22909770,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22909770.csv,71,5,Canola,Garfield,5
195,24206816,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206816.csv,67,5,Canola,Garfield,5
196,25706479,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706479.csv,72,5,Canola,Garfield,4
197,25705944,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705944.csv,72,5,Canola,Garfield,4
198,24207601,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24207601.csv,64,5,Canola,Garfield,5
199,24205452,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205452.csv,66,5,Canola,Garfield,5
200,24206239,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206239.csv,68,5,Canola,Garfield,5
201,24205370,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205370.csv,67,5,Canola,Garfield,5
202,25705500,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705500.csv,72,5,Canola,Garfield,4
203,24205614,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205614.csv,68,5,Canola,Garfield,5
204,24010151,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24010151.csv,71,5,Canola,Garfield,2
205,25705372,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705372.csv,72,5,Canola,Garfield,4
206,22907205,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22907205.csv,73,5,Canola,Garfield,5
207,25707787,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25707787.csv,73,5,Canola,Garfield,4
208,24206480,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206480.csv,67,5,Canola,Garfield,5
209,21202322,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\21202322.csv,74,5,Canola,Garfield,4
210,25705709,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25705709.csv,71,5,Canola,Garfield,4
211,24206822,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206822.csv,67,5,Canola,Garfield,5
212,24205378,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24205378.csv,67,5,Canola,Garfield,5
213,25706973,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25706973.csv,74,5,Canola,Garfield,4
214,24206734,31,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24206734.csv,66,5,Canola,Garfield,5
