idx,id,code,confidence,path,sequencelength,classid,classname,region,fold
21,23404298,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404298.csv,67,8,Alfalfa,Garfield,5
22,23404428,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404428.csv,68,8,Alfalfa,Garfield,5
23,23404506,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404506.csv,68,8,Alfalfa,Garfield,5
24,23404510,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404510.csv,67,8,Alfalfa,Garfield,5
25,23404365,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404365.csv,68,8,Alfalfa,Garfield,5
26,25300663,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25300663.csv,68,8,Alfalfa,Garfield,3
27,24103020,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103020.csv,68,8,Alfalfa,Garfield,2
28,23404179,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404179.csv,67,8,Alfalfa,Garfield,5
29,20601897,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601897.csv,65,8,Alfalfa,Garfield,2
30,23404362,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404362.csv,67,8,Alfalfa,Garfield,5
31,20601577,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601577.csv,65,8,Alfalfa,Garfield,2
32,23404237,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404237.csv,67,8,Alfalfa,Garfield,5
33,23404238,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404238.csv,67,8,Alfalfa,Garfield,5
34,23404587,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404587.csv,68,8,Alfalfa,Garfield,5
35,23404743,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404743.csv,69,8,Alfalfa,Garfield,5
36,23404430,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404430.csv,68,8,Alfalfa,Garfield,5
37,23404586,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404586.csv,68,8,Alfalfa,Garfield,5
38,23404178,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404178.csv,67,8,Alfalfa,Garfield,5
39,23404303,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404303.csv,68,8,Alfalfa,Garfield,5
40,23404177,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404177.csv,67,8,Alfalfa,Garfield,5
41,23404817,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404817.csv,69,8,Alfalfa,Garfield,5
42,23404431,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404431.csv,68,8,Alfalfa,Garfield,5
43,23404236,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404236.csv,67,8,Alfalfa,Garfield,5
44,22104570,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104570.csv,64,8,Alfalfa,Garfield,1
45,23404112,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404112.csv,67,8,Alfalfa,Garfield,5
46,24103018,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103018.csv,69,8,Alfalfa,Garfield,2
47,23404509,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404509.csv,67,8,Alfalfa,Garfield,5
48,23404433,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404433.csv,67,8,Alfalfa,Garfield,5
49,22104737,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104737.csv,66,8,Alfalfa,Garfield,1
50,23404744,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404744.csv,69,8,Alfalfa,Garfield,5
51,20601546,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601546.csv,65,8,Alfalfa,Garfield,2
52,22104616,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104616.csv,64,8,Alfalfa,Garfield,1
53,23404590,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404590.csv,67,8,Alfalfa,Garfield,5
54,23404361,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404361.csv,67,8,Alfalfa,Garfield,5
55,23404584,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404584.csv,70,8,Alfalfa,Garfield,5
56,23804512,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23804512.csv,69,8,Alfalfa,Garfield,4
57,22104571,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104571.csv,64,8,Alfalfa,Garfield,1
58,23404175,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404175.csv,67,8,Alfalfa,Garfield,5
59,24102912,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24102912.csv,69,8,Alfalfa,Garfield,2
60,20601547,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601547.csv,65,8,Alfalfa,Garfield,2
61,23404666,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404666.csv,67,8,Alfalfa,Garfield,5
62,23404585,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404585.csv,68,8,Alfalfa,Garfield,5
63,24102967,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24102967.csv,69,8,Alfalfa,Garfield,2
64,22104655,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104655.csv,65,8,Alfalfa,Garfield,1
65,22104654,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104654.csv,65,8,Alfalfa,Garfield,1
66,23404300,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404300.csv,67,8,Alfalfa,Garfield,5
67,23404665,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404665.csv,67,8,Alfalfa,Garfield,5
68,23404111,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404111.csv,67,8,Alfalfa,Garfield,5
69,23404818,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404818.csv,69,8,Alfalfa,Garfield,5
70,23404588,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404588.csv,67,8,Alfalfa,Garfield,5
71,23404745,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404745.csv,69,8,Alfalfa,Garfield,5
72,25300792,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25300792.csv,67,8,Alfalfa,Garfield,3
73,24103584,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103584.csv,70,8,Alfalfa,Garfield,2
74,23404297,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404297.csv,67,8,Alfalfa,Garfield,5
75,23404299,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404299.csv,67,8,Alfalfa,Garfield,5
76,20601576,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601576.csv,65,8,Alfalfa,Garfield,2
77,20601511,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\20601511.csv,65,8,Alfalfa,Garfield,2
78,23404235,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404235.csv,67,8,Alfalfa,Garfield,5
79,22104572,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104572.csv,64,8,Alfalfa,Garfield,1
80,23404508,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404508.csv,67,8,Alfalfa,Garfield,5
81,25605639,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25605639.csv,70,5,Canola,Garfield,4
82,24003241,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003241.csv,71,5,Canola,Garfield,2
83,24105361,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24105361.csv,66,5,Canola,Garfield,2
84,24004665,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24004665.csv,69,5,Canola,Garfield,2
85,25807857,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25807857.csv,68,5,Canola,Garfield,2
86,24005669,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005669.csv,69,5,Canola,Garfield,2
87,24103654,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103654.csv,66,5,Canola,Garfield,2
88,25811121,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25811121.csv,67,5,Canola,Garfield,2
89,23005901,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23005901.csv,65,5,Canola,Garfield,4
90,24003433,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003433.csv,69,5,Canola,Garfield,2
91,25807137,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25807137.csv,68,5,Canola,Garfield,2
92,21204389,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204389.csv,70,5,Canola,Garfield,4
93,24104470,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104470.csv,68,5,Canola,Garfield,2
94,24004777,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24004777.csv,70,5,Canola,Garfield,2
95,23006650,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23006650.csv,67,5,Canola,Garfield,4
96,24104152,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104152.csv,64,5,Canola,Garfield,2
97,24005469,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005469.csv,69,5,Canola,Garfield,2
98,22904820,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22904820.csv,68,5,Canola,Garfield,5
99,24005936,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005936.csv,69,5,Canola,Garfield,2
100,24904112,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24904112.csv,68,5,Canola,Garfield,5
101,25805916,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25805916.csv,68,5,Canola,Garfield,2
102,25606283,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25606283.csv,69,5,Canola,Garfield,4
103,22905880,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22905880.csv,67,5,Canola,Garfield,5
104,24111781,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24111781.csv,71,5,Canola,Garfield,2
105,21203855,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21203855.csv,69,5,Canola,Garfield,4
106,23005628,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23005628.csv,68,5,Canola,Garfield,4
107,25608013,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25608013.csv,66,5,Canola,Garfield,4
108,22908516,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22908516.csv,68,5,Canola,Garfield,5
109,24902521,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24902521.csv,67,5,Canola,Garfield,5
110,24902738,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24902738.csv,67,5,Canola,Garfield,5
111,21204817,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204817.csv,70,5,Canola,Garfield,4
112,24010688,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24010688.csv,67,5,Canola,Garfield,2
113,24009727,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24009727.csv,66,5,Canola,Garfield,2
114,24008230,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008230.csv,68,5,Canola,Garfield,2
115,21301949,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21301949.csv,69,5,Canola,Garfield,4
116,24103754,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103754.csv,66,5,Canola,Garfield,2
117,25605326,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25605326.csv,70,5,Canola,Garfield,4
118,21204359,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204359.csv,69,5,Canola,Garfield,4
119,24105177,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24105177.csv,67,5,Canola,Garfield,2
120,25806043,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25806043.csv,68,5,Canola,Garfield,2
121,24009459,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24009459.csv,66,5,Canola,Garfield,2
122,23004199,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23004199.csv,68,5,Canola,Garfield,4
123,24110023,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24110023.csv,70,5,Canola,Garfield,2
124,25809240,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25809240.csv,68,5,Canola,Garfield,2
125,25810738,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810738.csv,67,5,Canola,Garfield,2
126,24003385,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003385.csv,71,5,Canola,Garfield,2
127,25810135,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810135.csv,66,5,Canola,Garfield,2
128,24104336,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104336.csv,63,5,Canola,Garfield,2
129,23006780,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23006780.csv,67,5,Canola,Garfield,4
130,25810238,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810238.csv,67,5,Canola,Garfield,2
131,21301461,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21301461.csv,68,5,Canola,Garfield,4
132,24006698,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24006698.csv,63,5,Canola,Garfield,2
133,24005437,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005437.csv,70,5,Canola,Garfield,2
134,24104427,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104427.csv,63,5,Canola,Garfield,2
135,24009976,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24009976.csv,66,5,Canola,Garfield,2
136,24007594,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24007594.csv,68,5,Canola,Garfield,2
137,25607959,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25607959.csv,66,5,Canola,Garfield,4
138,24012349,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24012349.csv,69,5,Canola,Garfield,2
139,24012662,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24012662.csv,71,5,Canola,Garfield,2
140,23003947,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23003947.csv,71,5,Canola,Garfield,4
141,24006701,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24006701.csv,64,5,Canola,Garfield,2
142,25810498,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810498.csv,68,5,Canola,Garfield,2
143,21203849,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21203849.csv,69,5,Canola,Garfield,4
144,24110163,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24110163.csv,69,5,Canola,Garfield,2
145,24105153,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24105153.csv,67,5,Canola,Garfield,2
146,25810429,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810429.csv,67,5,Canola,Garfield,2
147,25810989,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810989.csv,67,5,Canola,Garfield,2
148,24005394,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005394.csv,69,5,Canola,Garfield,2
149,24008338,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008338.csv,65,5,Canola,Garfield,2
150,22906583,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22906583.csv,67,5,Canola,Garfield,5
151,24006045,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24006045.csv,69,5,Canola,Garfield,2
152,24104850,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104850.csv,66,5,Canola,Garfield,2
153,24008439,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008439.csv,66,5,Canola,Garfield,2
154,24006377,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24006377.csv,65,5,Canola,Garfield,2
155,24003893,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003893.csv,72,5,Canola,Garfield,2
156,24110932,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24110932.csv,72,5,Canola,Garfield,2
157,24104559,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24104559.csv,67,5,Canola,Garfield,2
158,24004625,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24004625.csv,69,5,Canola,Garfield,2
159,24003415,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003415.csv,69,5,Canola,Garfield,2
160,22906464,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22906464.csv,67,5,Canola,Garfield,5
161,24110935,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24110935.csv,72,5,Canola,Garfield,2
162,21204676,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204676.csv,69,5,Canola,Garfield,4
163,25810863,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810863.csv,68,5,Canola,Garfield,2
164,25606555,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25606555.csv,68,5,Canola,Garfield,4
165,24004119,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24004119.csv,71,5,Canola,Garfield,2
166,24004700,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24004700.csv,70,5,Canola,Garfield,2
167,22905443,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22905443.csv,68,5,Canola,Garfield,5
168,24008429,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008429.csv,67,5,Canola,Garfield,2
169,21301466,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21301466.csv,67,5,Canola,Garfield,4
170,25606134,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25606134.csv,70,5,Canola,Garfield,4
171,25605409,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25605409.csv,70,5,Canola,Garfield,4
172,22906646,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22906646.csv,67,5,Canola,Garfield,5
173,24008821,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008821.csv,65,5,Canola,Garfield,2
174,21204088,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204088.csv,70,5,Canola,Garfield,4
175,25809713,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25809713.csv,68,5,Canola,Garfield,2
176,25810321,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810321.csv,66,5,Canola,Garfield,2
177,24003251,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003251.csv,70,5,Canola,Garfield,2
178,24010266,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24010266.csv,66,5,Canola,Garfield,2
179,23006146,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23006146.csv,71,5,Canola,Garfield,4
180,24006834,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24006834.csv,64,5,Canola,Garfield,2
181,24111740,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24111740.csv,70,5,Canola,Garfield,2
182,24005232,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24005232.csv,67,5,Canola,Garfield,2
183,24009465,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24009465.csv,66,5,Canola,Garfield,2
184,21202753,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21202753.csv,70,5,Canola,Garfield,4
185,21203844,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21203844.csv,70,5,Canola,Garfield,4
186,24009462,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24009462.csv,66,5,Canola,Garfield,2
187,25810727,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810727.csv,68,5,Canola,Garfield,2
188,25810314,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25810314.csv,66,5,Canola,Garfield,2
189,24003377,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24003377.csv,71,5,Canola,Garfield,2
190,23304628,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23304628.csv,68,5,Canola,Garfield,1
191,24111185,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24111185.csv,72,5,Canola,Garfield,2
192,25809266,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25809266.csv,69,5,Canola,Garfield,2
193,23006266,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23006266.csv,68,5,Canola,Garfield,4
194,24103791,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103791.csv,66,5,Canola,Garfield,2
195,25809500,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25809500.csv,65,5,Canola,Garfield,2
196,24902168,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24902168.csv,68,5,Canola,Garfield,5
197,24903705,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24903705.csv,68,5,Canola,Garfield,5
198,24008221,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24008221.csv,67,5,Canola,Garfield,2
199,24007948,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24007948.csv,66,5,Canola,Garfield,2
200,24105463,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24105463.csv,67,5,Canola,Garfield,2
201,22906231,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22906231.csv,68,5,Canola,Garfield,5
202,22906155,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22906155.csv,68,5,Canola,Garfield,5
203,21301649,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21301649.csv,69,5,Canola,Garfield,4
204,21204394,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21204394.csv,70,5,Canola,Garfield,4
205,24903736,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24903736.csv,68,5,Canola,Garfield,5
206,21301433,31,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\21301433.csv,68,5,Canola,Garfield,4
